position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Barham Salih,Q808173,2018-10-02,male,1960-09-12,,Barham Salih (cropped).jpg,Barham Salih
Vice President,Ayad Allawi,Q313816,2016-10-10,male,1945-05-31,,2014 Allawi.jpg,Ayad Allawi
Prime Minister,Mustafa Al-Kadhimi,Q85317569,2020-05-06,male,1967-07-05,,Mustafa al-Kadhimi (cropped).jpg,Mustafa Al-Kadhimi
Deputy Prime Minister,Ali Allawi,Q2646641,2020-05-07,male,1947,,Ali Allawi Iraq’s Deputy Prime Minister and Finance Minister.png,Ali Allawi
Minister of Agriculture,Mohamed Karim Alkhafaji,Q110634579,2020-06-06,,,,,
Minister of Communications,Arkan Shahab,Q100261106,2020-05-07,,,,,
"Minister of Construction, Housing, Municipalities and Public Works",Naznin Shaikh Muhammed,Q96118750,2020-05-07,female,1959,,,
Minister of Culture,Hassan Nadhem,Q20393732,2020-06-06,male,1965-11-01,,,
Minister of Defence,Juma Inad,Q93654245,2020-05-06,male,1956,,Joumah Enad.jpg,Juma Inad
Minister of Displacement and Migration,Evan Faeq Yacub,Q96115453,2020-06-06,female,1981,,,
Minister of Education,Ali Hamid Mukhlif,Q100258481,2020-05-07,,,,,
Minister of Electricity,Majid Mahdi Hantoush,Q110634543,2020-05-07,,,,,
Minister of Finance,Ali Allawi,Q2646641,2020-05-07,male,1947,,Ali Allawi Iraq’s Deputy Prime Minister and Finance Minister.png,Ali Allawi
Minister of Foreign Affairs,Fuad Hussein,Q56704276,2020-06-06,male,1949,,Fuad Hussein in Tehran 20190406.jpg,Fuad Hussein
Minister of Health,Hani Musa Badr,Q110634140,2021-05-25,male,,,,
Minister of Higher Education and Scientific Research,Nabil Abdulsahib,Q99518857,2020-05-07,,1965,,,
Minister of Industry,Manhal Aziz,Q110634124,2020-05-07,,,,,
Minister of Interior,Othman al-Ghanmi,Q29834564,2020-05-06,male,,,Othman al-Ghanmi 2020.png,Othman al-Ghanmi
Minister of Justice,Salar Abdul Sattar Muhammad,Q110634562,2020-06-06,,,,,
Minister of Labor and Social Affairs,Adil Hashush,Q105744990,2020-05-07,male,1968,,,
Minister of Oil,Ihsan Abdul Jabbar Ismail,Q96096929,2020-06-06,male,1974,,Ihsan Abduljabbar al-Saedi.jpg,
Minister of Planning,Khalid Najim,Q93459603,2020-05-07,,,,,
Minister of Trade,Alla Ahmed Hassan,Q110634583,2020-06-06,,,,,
Minister of Transportation,Nasir Hussein,Q110634551,2020-05-07,,,,,
Minister of Water Resources,Mahdi Rashid,Q110634544,2020-05-07,,,,,
Minister of Youth and Sports,Adnan Dirjal,Q4683880,2020-05-07,male,1960-01-26,,Adnan Derjal.jpg,Adnan Dirjal
Minister of State for Parliament Affairs,Heyam Nemat,Q106422448,2020-12-15,female,1961-10-18,,,
Speaker of Council of Representatives,Mohamed al-Halbousi,Q47008930,2018-09-15,male,1981-01-04,,Deputy Secretary Sullivan with Al-Halbousi (31647284718) (cropped).jpg,Mohamed Al-Halbousi
Governor of the Central Bank,Mustafa Ghaleb,Q110634964,2020-09-15,male,,,,
Chief of the General Staff,Abdul Ameer Rasheed Yarallah,Q106844871,2020-06-08,male,1964-08-18,,,Abdel Emir Yarallah
Mayor of Baghdad,Alaa Maan,Q100969271,2020-10-28,male,1967-05,,,
