id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q889817,President of Iraq,Q796,Q796,Q4117119,,1958-07-14,,,,President of Iraq
Q4117119,Vice President of Iraq,Q796,Q796,,,1958-07-14,,,,Vice President of Iraq
Q1476165,Prime Minister of Iraq,Q796,Q796,,Q14865005,1920-11-11,,,,Prime Minister of Iraq
Q20423494,Deputy Prime Minister of Iraq,Q796,Q796,,,,,,,
Q58195518,Minister of Agrarian Reform,Q796,,,,,,,,
Q64748068,Minister of Agriculture and Agrarian Reform,Q796,,,,,,,,
Q57270285,Minister of Agriculture and Irrigation,Q796,,,,,,,,
Q56043357,Minister of Awqaf,Q796,Q796,,,,,,,
Q67209439,Minister of Awqaf and Religious Affairs,Q796,,,,,2003,,,
Q55691727,Minister of Construction,Q796,Q796,,,,,,,
Q55691705,Minister of Construction and Housing,Q796,,,,,,,Q96119237,
Q96119237,"Minister of Construction, Housing, Municipalities and Public Works",Q796,,,,,,Q56650429,,
Q56697377,Minister of Culture and Guidance,Q796,,,,,,,,
Q55684412,Minister of culture and information in Iraq,Q796,Q796,,,,,,,
Q22690703,Minister of Defence,Q796,Q796,,,,,,,
Q56196437,Minister of displacement and migration,Q796,,,,,,,,
Q66828321,Minister of Domestic Trade,Q796,,,,,,,Q55693859,
Q62268346,Minister of Economy,Q796,,,,,,,,
Q20470741,Minister of Economy,Q43,,,,,,,,
Q57401232,Minister of Economy and Transportation,Q796,,,,,,,,
Q57363560,Minister of Electricity,Q796,,,,,,,,
Q28104676,Minister of Finance,Q796,Q796,,,,,,,
Q6895071,Minister of Foreign Affairs,Q796,Q796,,,,,,,
Q64153401,Minister of Guidance,Q796,,,,,,,,
Q55707499,Ministrer of Guidance,,Q796,,,,,,,
Q6866166,Minister of Health,Q796,Q796,,,,,,,Minister of Health (Iraq)
Q55691077,Minister of Higher Education and Scientific Research,Q796,,,,,,,,
Q56885008,minister of housing and reconstruction,Q796,,,,,,,,
Q56064663,Interior Minister of Iraq,Q796,,,,,,,,
Q25463377,Minister of Interior,Q796,Q796,,,,,,,
Q66828325,Minister of International Trade,Q796,,,,,,,Q55693859,
Q56256826,Minister of Irrigation,Q796,,,,,,,,
Q56244228,Minister of Irrigation and Agriculture,Q796,,,,,,,,
Q106964104,Minister of Justice,Q796,Q796,,,,,,,
Q55714273,Minister of Knowledges,Q796,Q796,,,,,,,
Q56697253,Minister of Labor and Social Affairs,Q796,,,,,,,,
Q56867915,Minister of Military Industrialization,Q796,,,,,,,,
Q66360578,Minister of Municipal Affairs,Q796,,,,,,,,
Q12251008,Minister of Municipalities,Q796,,,,,,,,
Q56650429,Minister of Municipalities and Public Works,Q796,Q796,,,,,,Q96119237,
Q66085051,Minister of North Affairs,Q796,,,,1967-06-28,1974,,,
Q64153946,Minister of North Construction,Q796,,,,,,,,
Q55691802,Minister of oil,Q796,,,,1959-07-13,,,,
Q66167561,Minister of Oil and Minerals,Q796,,,,,,,,
Q55691776,Minister of Planning,Q796,Q796,,,,,,,
Q56650446,Minister of Public Works and Housing,Q796,,,,,,,,
Q66395967,Minister of Public Works and Housing,Q796,,,,,,,,
Q56241386,Minister of Science and Technology,Q796,,,,,,,,
Q57516271,Minister of Supply,Q796,,,,,,,,
Q55693859,Minister of Trade,Q796,Q796,,,,,Q66828325,,
Q56161778,Minister of Transport and Works,Q796,,,,,,,,
Q55755041,Minister of Transport and Works,Q796,Q796,,,,,,,
Q66360580,Minister of Transportation,Q796,,,,,,,,
Q56884070,Minister of Transportation and Communications,Q796,,,,,,,,
Q64160785,Minister of Unity,Q796,,,,,,,,
Q57270337,Minister of Works and Transportation,Q796,,,,,,,,
Q65095623,Minister of Youth,Q796,,,,,,,,
Q37827445,Minister of Youth and Sports (Iraq),Q796,,,,,,,,Ministry of Youth and Sports (Iraq)
Q64153902,State Minster of Awqaf,Q796,,,,,,,,
Q66395654,Minister of state for Kudish Affairs,Q796,,,,,,,,
Q66385462,Minister of State for Military Affairs,Q796,,,,,,,,
Q64859730,Minister of State for North Reconstruction,Q796,,,,,,,,
Q66438318,Minister of state for Waqf Affairs,Q796,,,,,,,,
Q65232506,Minister of State for Women's Affairs,Q796,,,,,,,,
Q20404109,Speaker of Council of Representatives of Iraq,Q796,,,,,,,,
Q56233286,Mayor of Baghdad,Q796,,,,,,,,
